qutrits,time,fid
2,15.0,0.2701080931535767
2,1500.0,1.0000005320536685
2,756.7567567567567,0.9999783727224204
2,385.1351351351351,0.9997860645534128
2,199.32432432432432,0.9890302004430452
2,107.16216216216216,0.9111293480978356
2,61.08108108108108,0.7389283791875634
2,83.37837837837837,0.8492346836979443
2,95.27027027027026,0.8829026975655484
2,101.2162162162162,0.8974753066812026
2,104.18918918918918,0.9044970498187926
2,102.7027027027027,0.9010206365026032
2,101.2162162162162,0.8974753066812026
2,102.7027027027027,0.9010206365026032
3,15.0,0.1447616955418992
3,1500.0,0.9965460911986854
3,756.7567567567567,0.9266055759596088
3,385.1351351351351,0.7810994508730671
3,570.9459459459459,0.870000729577812
3,663.1081081081081,0.9013811757762932
3,617.027027027027,0.886576867179604
3,639.3243243243243,0.8939582462024953
3,651.2162162162161,0.8977426139891137
3,657.1621621621621,0.8995765001016899
3,660.1351351351351,0.9004788999177672
3,658.6486486486486,0.9000214835100058
3,657.1621621621621,0.8995765001016899
3,658.6486486486486,0.9000214835100058
5,15.0,0.014341002504246969
5,1500.0,0.9039399732619209
5,756.7567567567567,0.6985227121040678
5,1128.3783783783783,0.8246569002924353
5,1314.1891891891892,0.8687096307712118
5,1406.3513513513512,0.8872095076752762
5,1452.4324324324323,0.8956850252426872
5,1476.216216216216,0.8998794057617072
5,1488.1081081081081,0.9019253382297803
5,1482.162162162162,0.9009077142933016
5,1479.1891891891892,0.900392918143957
5,1477.7027027027027,0.9001319366659009
5,1476.216216216216,0.8998794057617072
5,1477.7027027027027,0.9001319366659009
