5,"[0.010459275420451958, 0.019051940911008352, 0.03027241398402692, 0.045749494297741056, 0.0637427907003424, 0.08540587791804125, 0.10807654951366101, 0.13326973252913854, 0.15828568011354247, 0.18470511954569424, 0.2101886367621379, 0.23616153848251134, 0.26088865477130135, 0.2854198624539719, 0.308729239144554, 0.3313659831407509, 0.3529940648162347, 0.37365100329224044, 0.3935826844749533, 0.4123767146645594, 0.4307113359481372, 0.44785696890440707, 0.4647426318746744, 0.4804662934877197, 0.49606509493346673, 0.5105992122193487, 0.5250456243369707, 0.5385624304868575, 0.5519694609192968, 0.5646100988033208, 0.5770772248117919, 0.5889346944528894, 0.6005263707214251, 0.6116813820674973, 0.6224871226176762, 0.6329831314102553, 0.6430688009130906, 0.6529512853005596, 0.6623821329691743, 0.6716969468586815, 0.6805567121813787, 0.6893407838028848, 0.6976733121373294, 0.7059721508064555, 0.7138469285602935, 0.7216866366211355, 0.7291651243200612, 0.7365876848119352, 0.7437091715696499, 0.7507477461965976, 0.7575506466193687, 0.7642455979816366, 0.770761957232863, 0.7771276904764763, 0.7833756717361147, 0.7894469379221792, 0.795447147442009, 0.8012463037725588, 0.8069981166040449, 0.8125307290100977, 0.8180340108003693, 0.8233379724607368, 0.8286149155999232, 0.8336859646353185, 0.83872256791276, 0.8435848208750305, 0.8483793215071568, 0.8530224902226926, 0.8576075944127004, 0.8620422186927945, 0.8664033054926468, 0.87062841055214, 0.8747819924378759, 0.8788248484429799, 0.8827490152022094, 0.8865985062370172, 0.890315408496383, 0.8939693734400443, 0.8974803979470068, 0.9009566986383676, 0.9042764670454269, 0.9075444508765309, 0.9106876130275773, 0.9137701347001561, 0.9167381229986207, 0.9196427600912812, 0.9224399468141862, 0.9251658878490261, 0.9278006498423191, 0.9303532993292941, 0.9328300610321775, 0.9352236168150022, 0.9375509718082736, 0.9397874712154354, 0.9419696984770096, 0.9440649433070898, 0.9461087868848552, 0.9480568601141194, 0.9499593213897368, 0.9517970694705574]"
4,"[0.017507490764449282, 0.030407776944172238, 0.04572311791926422, 0.06597561005044206, 0.08762858834333205, 0.111320628761582, 0.13538510769675094, 0.15871771459624998, 0.18218591174635884, 0.20351641912059393, 0.22456906994495107, 0.2434384181835346, 0.2612004308848345, 0.2775060500202254, 0.2920760742366353, 0.3059329455896857, 0.3179799535005021, 0.32956776402119603, 0.3398849649580509, 0.34962449892878006, 0.3588241522939097, 0.36720793274311336, 0.375563294723647, 0.3831042158444056, 0.3907139841111408, 0.39778798196433784, 0.40467505203462356, 0.4114289813437586, 0.4177318071657406, 0.42416855821125454, 0.43008724190370273, 0.4361154350206043, 0.44183131933804665, 0.44744041157067876, 0.4530350435878337, 0.45831004504585376, 0.46376561348983963, 0.46885663279934936, 0.47409850601870496, 0.47914007824261523, 0.4841442116130896, 0.48919481721472646, 0.4939995602728353, 0.4990174140251354, 0.5037354536430314, 0.5086218934718532, 0.5133565409100379, 0.5180673987684816, 0.5228423191917617, 0.5274034832331018, 0.5321742553266358, 0.5366833921714167, 0.5413452611923721, 0.5458849284941357, 0.5504075309558906, 0.5549936849093658, 0.5593965336464726, 0.5639796933345154, 0.568335614127236, 0.5728370454499414, 0.5772220941262871, 0.5815878148450835, 0.5860270321921978, 0.5902888138856508, 0.5947170041088213, 0.5989226973776656, 0.6032850493066211, 0.6075287285725275, 0.6117445486780295, 0.6160307708665999, 0.6201397130055104, 0.6243970189809908, 0.6284794906908332, 0.6326646198682079, 0.6367494264745921, 0.640801514328663, 0.6449228881380786, 0.6488892539489963, 0.6529795392275265, 0.656893356991636, 0.6608984676984668, 0.6648126964404588, 0.6687066517766077, 0.6726438220746631, 0.6764303013841125, 0.6803386791661125, 0.6840737892655343, 0.6879007797815831, 0.6916390595511155, 0.6953382945697191, 0.6990869075574114, 0.7026880630789222, 0.7063934313641664, 0.7099552675823531, 0.7135690638585934, 0.7171195757067295, 0.7206171290319281, 0.7241724884920357, 0.7275845923290593, 0.7310849020781228]"
3,"[0.113629751816031, 0.17110057456535568, 0.23120732819124296, 0.29408666985060844, 0.3552078174168096, 0.4064322286910273, 0.45231319166408274, 0.49115517834529987, 0.523248277339811, 0.5521833598156963, 0.5768747040404303, 0.5988960838263218, 0.6196562465866325, 0.6382901002390783, 0.6561099507912957, 0.673104505660966, 0.6888392455835913, 0.7041762860686613, 0.7186196017683474, 0.7323019182998898, 0.7456105543957018, 0.7581450516056738, 0.7702274348271062, 0.7818862642806201, 0.7929117999965357, 0.8036360477075771, 0.8138429857032528, 0.8235808643518653, 0.8329830299863958, 0.841867773874348, 0.8503992625228878, 0.858576611574671, 0.8663001610388458, 0.8737470727183403, 0.880823327055461, 0.8875471410016728, 0.893999496770415, 0.9000856544840873, 0.9058917355922136, 0.9114359077409213, 0.9166576830162875, 0.9216483584524872, 0.9263768731020631, 0.9308415318909502, 0.9351064630750732, 0.9391229390403464, 0.9429213335197856, 0.9465298732446483, 0.9499084673327992, 0.9531403996080243, 0.956157341927205, 0.9590118125008761, 0.9617111078120311, 0.9642325558720884, 0.9666073089835036, 0.9688527347385004, 0.9709394305943012, 0.9729226364277527, 0.9747753304916673, 0.9764917792177142, 0.9781408346257948, 0.9796518512086082, 0.9810565981226734, 0.9823904686785881, 0.9836007812478519, 0.9847792039240947, 0.9858376856323662, 0.9868400831746929, 0.9877764099769605, 0.9886143917144867, 0.9894167623279589, 0.9901801107882013, 0.9908469617664554, 0.9914994203897963, 0.9920697091148131, 0.9926180312143514, 0.9931531765451392, 0.9936172094155507, 0.9940224124666167, 0.994455630936854, 0.994803100841455, 0.995159232168384, 0.9954509004083169, 0.9957686849235416, 0.9960245298316273, 0.996274622792659, 0.9965054711823326, 0.9967267633647137, 0.9969187399817103, 0.9970990561931875, 0.9972621645910325, 0.9974160949213261, 0.9975603051943951, 0.9976955400013836, 0.9978123509501933, 0.9979404345551275, 0.9980418308269121, 0.9981428993105442, 0.9982309207737292, 0.9983194017261573]"
2,"[0.19573988133824902, 0.31614512532775524, 0.4488437156819051, 0.5595710752037367, 0.6526812941230643, 0.7282685404432718, 0.7843773693582873, 0.8272147237594761, 0.863418954227561, 0.8920843368732794, 0.9129669152840022, 0.9298924034860437, 0.9445145436313429, 0.9557133708022447, 0.964017452247876, 0.9711143327053386, 0.9770656878120562, 0.981466353558984, 0.984916566895611, 0.9879553885375179, 0.9903453567546975, 0.9920599189654706, 0.9935558850988676, 0.9948589591710625, 0.9958006780187197, 0.9965061536823329, 0.9971553551533354, 0.9977064115048107, 0.9980699404623501, 0.9983693056823006, 0.9986708454350195, 0.9988986769246001, 0.9990330958797197, 0.9991900846262144, 0.999319047664341, 0.9994009597667168, 0.9994712106909389, 0.9995457878172385, 0.9996049840635731, 0.9996379821474332, 0.9996754829147636, 0.9997169582732192, 0.9997288210423148, 0.9997576324416093, 0.9997756529117187, 0.9997795029486415, 0.9998073140428877, 0.9998224100526485, 0.9998298053203967, 0.9998373862182309, 0.9998469425887047, 0.9998545012794798, 0.9998698551784181, 0.9998791692528843, 0.9998734865626527, 0.999880534375437, 0.9998917454174614, 0.999889865922519, 0.999894353344214, 0.9998999662587698, 0.9999063553640207, 0.9999099801355653, 0.9999148146202785, 0.99990398769079, 0.9999182459077157, 0.9999161856067781, 0.9999174246494992, 0.9999256769414893, 0.9999293022918662, 0.9999098341228245, 0.9999377246168134, 0.9999380387543618, 0.9999209476454558, 0.9999437199757037, 0.9999445479526543, 0.9999253567898996, 0.999944862485596, 0.9999494147298649, 0.9999350180583253, 0.999949145276729, 0.9999341642561438, 0.9999493032350583, 0.9999347037589509, 0.9999468295355446, 0.9999476034983887, 0.9999555869285109, 0.9999463685442347, 0.9999543683649537, 0.9999590714662676, 0.9999505297250622, 0.9999517079322527, 0.9999482107269468, 0.9999490186680569, 0.9999592854229735, 0.9999729906940908, 0.9999649315104298, 0.9999608746177738, 0.9999679141118015, 0.9999666406102837, 0.9999669177543345]"
