5,"[0.011911725778800376, 0.021150923565093595, 0.03434288070934763, 0.04998791020755292, 0.0697146566339323, 0.09075609482295374, 0.11445542298687202, 0.13883948041660105, 0.16406151085752643, 0.18983954859043356, 0.2149098991105945, 0.24043296015988905, 0.2644797657290317, 0.2885848838750773, 0.3112474043392075, 0.33333399509059886, 0.35446120119254776, 0.3744290293839096, 0.3939348776274962, 0.41201246858021734, 0.4298460454722066, 0.4463912276371404, 0.4625819293323336, 0.47790032833349816, 0.49260105801687976, 0.5068928744507555, 0.5203447219739155, 0.5336711203709474, 0.5461518533236761, 0.5585342005630336, 0.5702769441369979, 0.5817430967070487, 0.5928639971361063, 0.6035173458199923, 0.6140541298526327, 0.6240207813391557, 0.6339392001452401, 0.643356529933587, 0.6526318645192526, 0.6615924887599346, 0.670270272382271, 0.6787999924079315, 0.6869359960945686, 0.6950259071830532, 0.7027242628406966, 0.7103479013175191, 0.7176892211649382, 0.7248609886304292, 0.7318839429662325, 0.7386487060145891, 0.7453552120404956, 0.7517899000424612, 0.758169660186089, 0.7643284578849778, 0.7703821582184817, 0.7763039116241425, 0.7820575364338823, 0.7877590832805027, 0.7932500684877002, 0.7987064727065611, 0.8039732465954045, 0.8091931544847007, 0.8142826205090209, 0.8192554965313925, 0.8241629009116448, 0.828920244343725, 0.8336292855435028, 0.8381870980057567, 0.8427135305346428, 0.8470969309923474, 0.8514183574903111, 0.8556316030545309, 0.8597670979701996, 0.8638283610446004, 0.8677695640740845, 0.8716578621884269, 0.8754364034277482, 0.8791421209525047, 0.8827578863076324, 0.8863011593538047, 0.8897641194052052, 0.8931235851747003, 0.8964346859808628, 0.8996402347362523, 0.9027867938807819, 0.90585082370656, 0.9088368465555545, 0.9117542093053976, 0.914586233209417, 0.9173548931988892, 0.9200408572505946, 0.9226639910361427, 0.9252152175066944, 0.9276929857629113, 0.9301100328138784, 0.9324528982434108, 0.9347396303982077, 0.9369436852546831, 0.9390940852015728, 0.9411913981276343]"
4,"[0.0198303688777549, 0.034132472284126934, 0.05217062587155018, 0.07332968367556598, 0.09666558521995078, 0.12055927287202567, 0.14499518627915656, 0.16833443569567635, 0.19138860321735285, 0.21250730461808792, 0.2329628167508265, 0.25118148993384337, 0.268628665234031, 0.2838732430733642, 0.29840713985649714, 0.31096424691012203, 0.32297875897801903, 0.33333252118250273, 0.3433551735743699, 0.3520516245822343, 0.3606105770842705, 0.36813953524934767, 0.3756820589389942, 0.3824251901612239, 0.3892638520324559, 0.39548539650461545, 0.4018124741014231, 0.4076615233882461, 0.413587086188109, 0.4191567534810051, 0.4247557556973472, 0.4300923947318851, 0.43540677189268806, 0.4405504994063239, 0.44561187706528754, 0.45060893742084046, 0.4554636384345771, 0.460332003543121, 0.4650060732255109, 0.4697731951080583, 0.47431834089696856, 0.4790057997698458, 0.4834339703288493, 0.4880592923920703, 0.4924041482434827, 0.4969738159040818, 0.5012460378018654, 0.5057630569138175, 0.5099853740753632, 0.5144461620473161, 0.5186359355322095, 0.5230423432587151, 0.5271883423818272, 0.5315413306470677, 0.535671991786303, 0.5399617761084118, 0.5440709738360939, 0.5483007025017638, 0.5523937344224086, 0.5565624247796234, 0.5606405666304102, 0.5647449800550991, 0.5688191176495524, 0.5728680465626738, 0.5769272196989285, 0.5809034693917684, 0.5849638198938629, 0.5888939263710267, 0.5929174328077215, 0.5968015102049881, 0.6008022632912713, 0.604620512018718, 0.6086062367592682, 0.6123927027225587, 0.6163290601970544, 0.6200641244251612, 0.6239732155978277, 0.6276871793696164, 0.6315450426335941, 0.63521469600813, 0.6390240888681936, 0.6426542283725901, 0.6464206707477148, 0.6500287562272336, 0.6537320292405804, 0.6573135564169494, 0.6609561593580452, 0.664515632641986, 0.6680957447162255, 0.6716227248157935, 0.6751501468498737, 0.6786426122150185, 0.6821084097635952, 0.685577112559975, 0.6889832794504472, 0.6924126749679577, 0.695759449388012, 0.6991587192676278, 0.7024574305585156, 0.7058117744953323]"
3,"[0.12452878317285952, 0.19010692485947328, 0.25568773133554024, 0.32458534363466396, 0.38292902550062974, 0.43616181813032795, 0.4788516000184294, 0.5158388699808301, 0.5462653761863926, 0.5723641771655285, 0.5952487171424224, 0.6152003727491071, 0.6339084620620833, 0.6506984327566828, 0.6670761627126008, 0.6821422041686885, 0.6969315495049604, 0.7107595334761269, 0.7241949319789271, 0.7369147864955901, 0.7491454212772052, 0.7608699615094925, 0.7720481825468493, 0.782863365315236, 0.7931310102267047, 0.8031350650495981, 0.8126031708762027, 0.8218239665324045, 0.8305575633168031, 0.8390203238338813, 0.8470551220800182, 0.854818721936431, 0.8621976711050089, 0.8692920379235024, 0.8760850895640263, 0.8825689218808196, 0.8887955613986521, 0.8947114543062951, 0.9003946048387832, 0.9057952879413095, 0.9109907461203537, 0.9158956905730495, 0.9206305887224991, 0.9250932260622712, 0.9293811058705358, 0.9334522094358078, 0.9373173778426059, 0.9410045857786555, 0.9444962401240744, 0.9478369112196386, 0.9509771876414711, 0.9539882311195168, 0.9568135254544334, 0.9595155582359468, 0.9620385763569435, 0.9644604493177392, 0.9667295415468483, 0.9688869476599423, 0.9709193699917671, 0.9728267021000013, 0.9746520421019342, 0.9763521899331072, 0.9779423828660666, 0.9794516538420047, 0.9808517896958521, 0.9821971833135307, 0.9834362235676233, 0.9846061468641231, 0.9857075230632699, 0.9867068598916067, 0.9876668523814455, 0.9885771416774968, 0.9893935237235586, 0.9901807198616449, 0.9908840112246355, 0.9915635972042982, 0.992213982712831, 0.9927964875886105, 0.9933100457537118, 0.9938436173561455, 0.9942856679339859, 0.994733679465046, 0.995105843065276, 0.9955025614017017, 0.9958286174350508, 0.9961459333682926, 0.9964377140649867, 0.9967120996978818, 0.996952472200539, 0.9971778659310724, 0.9973803788543624, 0.9975707927823779, 0.9977476116776898, 0.9979046783187184, 0.9980461395455501, 0.998190803407673, 0.9983106053345798, 0.9984219016783774, 0.9985198253542348, 0.9986134834638563]"
2,"[0.2189280665367692, 0.3748190741856202, 0.5180758705283132, 0.6378489051191589, 0.7323555862401668, 0.7945845967322451, 0.84343974366545, 0.8822371135802455, 0.9092028310303071, 0.9312154787097618, 0.947738749340888, 0.9591920395341411, 0.9690961098396902, 0.976439860695413, 0.9816401168104669, 0.9861297509644087, 0.9892411486619425, 0.9915828721953381, 0.9936834516226223, 0.9950512784516309, 0.9961107424735571, 0.9970426071503805, 0.9976380816567065, 0.9981447667985086, 0.9985867905996478, 0.9988429408164127, 0.9990723195920239, 0.999273145733329, 0.9993816972562505, 0.9995047549155538, 0.9995947321838774, 0.9996518180849733, 0.999704284665758, 0.9997553304586156, 0.9997770596325856, 0.9998094539818048, 0.9998292968613876, 0.9998450840098271, 0.9998642032611543, 0.9998727662559953, 0.9998871258969967, 0.9998988046747402, 0.9998928924310657, 0.9999123068166043, 0.9999145465664965, 0.9999003289036492, 0.9999216642018735, 0.9999316853592782, 0.9999286327480131, 0.9999307717954751, 0.9999383237848753, 0.9999393482747243, 0.9999489441696595, 0.9999542092145571, 0.9999471252458769, 0.9999497098186657, 0.9999557491316101, 0.9999542772613537, 0.9999560936787291, 0.9999578859641383, 0.9999624753046484, 0.9999643489913612, 0.9999673321994208, 0.999955285540112, 0.9999676367222723, 0.9999636645712758, 0.9999646186864232, 0.9999703229516143, 0.9999740378683143, 0.9999519096226588, 0.9999783478854768, 0.9999781599662657, 0.999960591699016, 0.9999821622340826, 0.9999807111366931, 0.9999590768343533, 0.9999803863325311, 0.9999835501496744, 0.9999681486661884, 0.9999818322848258, 0.9999654657936584, 0.9999791934034216, 0.9999626528421088, 0.9999759004189686, 0.999976870513142, 0.9999829157132946, 0.9999722794765219, 0.999977993801492, 0.9999859990206812, 0.9999762510413064, 0.9999766429199329, 0.9999742381585862, 0.9999725169316985, 0.9999838301797078, 0.9999944544357746, 0.9999906969082443, 0.9999826697882358, 0.9999908710235073, 0.9999889160421098, 0.9999883626412335]"
