qutrits,time,fid
2,15.0,0.2190766843669656
2,1500.0,0.9999905517285718
2,756.7567567567567,0.9999300533098596
2,385.1351351351351,0.9988487683892748
2,199.32432432432432,0.9729315810925636
2,107.16216216216216,0.8540168954620835
2,153.24324324324323,0.9379033174915214
2,129.45945945945945,0.9033507539477534
2,117.56756756756756,0.8805982823273044
2,123.5135135135135,0.8927967895220856
2,126.48648648648648,0.8982367162036071
2,127.97297297297295,0.9008283744588772
2,126.48648648648648,0.8982367162036071
2,127.97297297297295,0.9008283744588772
3,15.0,0.1246034247624043
3,1500.0,0.9985328673253996
3,756.7567567567567,0.9496819162942431
3,385.1351351351351,0.8016572776858264
3,570.9459459459459,0.895977125046285
3,663.1081081081081,0.9266209859955248
3,617.027027027027,0.9124132624583892
3,593.2432432432432,0.904206883834872
3,581.3513513513514,0.899912476698114
3,587.2972972972973,0.9020842112427174
3,584.3243243243243,0.9010014944807232
3,582.8378378378378,0.9004616756681041
3,581.3513513513514,0.899912476698114
3,582.8378378378378,0.9004616756681041
5,15.0,0.0119222973659718
5,1500.0,0.9410007324923464
5,756.7567567567567,0.7424629793784199
5,1128.3783783783783,0.8687384287554687
5,1314.1891891891892,0.9105886466568136
5,1220.5405405405404,0.8910315509988805
5,1266.6216216216214,0.9010298008480984
5,1242.8378378378377,0.8959711873518212
5,1254.7297297297296,0.8985142505084993
5,1260.6756756756756,0.8997774675036305
5,1263.6486486486483,0.9004126240628222
5,1262.162162162162,0.9000954977979567
5,1260.6756756756756,0.8997774675036305
5,1262.162162162162,0.9000954977979567
2,15.0,0.21796991769995655
2,1500.0,0.9994103363109315
2,756.7567567567567,1.0003011139066675
2,385.1351351351351,0.998586439644939
2,199.32432432432432,0.971602718139881
2,107.16216216216216,0.8497880407671629
2,153.24324324324323,0.9353520583190069
2,129.45945945945945,0.9000297578869323
2,117.56756756756756,0.8768619875993887
2,123.5135135135135,0.8893867193975951
2,126.48648648648648,0.8949437902849746
2,127.97297297297297,0.8976181591903782
